time,random_forest_1,gradient_boosting_1,ada_boosting
1993-12-01,1.7172494172494188,0.649392130453832,0.8278545310385567
1994-01-01,1.92843822843823,0.8023726473940195,0.9448893280444284
1994-02-01,2.001631701631704,0.9114495489108588,1.1156517605280307
1994-03-01,1.871561771561773,0.8221592787816827,1.0758068840815662
1994-04-01,1.766666666666668,0.7695996214725351,0.9975054714699524
1994-05-01,1.7020979020979032,0.8430585998853347,1.1031554768821656
1994-06-01,1.636829836829838,0.6991070234660423,0.9968107147270532
1994-07-01,1.601864801864803,0.6282441164052622,0.9636298597771006
1994-08-01,1.5333333333333343,0.7273033481642511,1.0903825670665486
1994-09-01,1.7382284382284392,0.7153075225457759,1.1757638954282763
1994-10-01,1.5955710955710964,0.5989335074104842,1.0982959296209165
1994-11-01,1.6431235431235445,0.6211944156212957,1.065393353506061
