time,equal_weighted
2001-09-01,2.7929349202927334
2001-10-01,2.36987198842501
2001-11-01,2.6253018827357324
2001-12-01,2.774011801224824
2002-01-01,2.8863629011091327
2002-02-01,2.7887281166813165
2002-03-01,2.7949959707840026
2002-04-01,2.889550858717137
2002-05-01,2.6926522159182302
2002-06-01,2.507035910558465
2002-07-01,2.2085142656129833
2002-08-01,1.7404270156678507
2002-09-01,1.7721640117060327
2002-10-01,1.464145784801523
2002-11-01,1.619607066301429
2002-12-01,1.8277434069057474
2003-01-01,1.517422766585972
2003-02-01,1.423329211964369
2003-03-01,1.278432546299326
2003-04-01,1.2264711496158773
2003-05-01,1.4636984642072925
2003-06-01,1.5163936561850249
2003-07-01,1.488477456477045
2003-08-01,1.643669993739528
2003-09-01,1.7576784382519202
2003-10-01,1.639019315199652
