time,equal_weighted,historical_average,random_forest_1,gradient_boosting_1,ada_boosting,extra_trees,epsilon_svm,nu_svm,MLP3
1989-08-01,0.28023464738177056,0.38046996372926534,0.49627217627013853,0.5200295783387396,0.7688413657116028,0.15899223762539882,0.5525459493597888,0.5951509903453366,0.4216823038949089
1989-09-01,0.34118716522337067,0.4653181528321309,0.6585103897080071,0.5693741325912052,0.8785174343540209,0.19976767366769066,0.7039320090859196,0.7383214536909815,0.5516925168383543
1989-10-01,0.3132431013015945,0.41823011997971227,0.5412606165818594,0.5045709171396684,0.8418662469791666,0.16257463207474918,0.6033227202198184,0.6503100570330623,0.4633280395497354
1989-11-01,0.2179290320690788,0.3179450649253293,0.4566449011183401,0.38337457084937465,0.7052572019814078,0.07059284362733229,0.5079726695891291,0.5468330158986682,0.37838664519808174
1989-12-01,0.27221833344892843,0.37581501821574254,0.5191157317444807,0.43642944967241637,0.7723126049097115,0.08966361114673352,0.5713900464339513,0.6109669789249162,0.4418814794538689
1990-01-01,0.3310425905096498,0.4295889366419901,0.5440574214991671,0.48057995184399077,0.8514460415302557,0.15382964340660682,0.6075201517480379,0.6555675723667552,0.4782260959447986
1990-02-01,0.3102445296621848,0.39856892852004777,0.47156316242983926,0.4897312671912394,0.8120181470064427,0.14466304944964695,0.5418527607781825,0.5950685945119322,0.4204246820674769
1990-03-01,0.26588305771204623,0.3568876123956125,0.4242437776999451,0.4328429777934414,0.7895273163252887,0.11084149602662056,0.49965950776952855,0.5567561999971248,0.3766972395728261
1990-04-01,0.2961695259048256,0.38996134097358615,0.46084091103675234,0.4763750812559135,0.8904573085662675,0.13612852183975868,0.5495384134706548,0.6166907573623159,0.4120165463543069
1990-05-01,0.2656546557760698,0.357151161045444,0.4349667409598745,0.43717166129386054,0.8210420936196143,0.10525720968556306,0.5146748063152872,0.5750214024639143,0.38604671180756883
1990-06-01,0.35774339872267724,0.46232975940578036,0.5678340564901,0.5401883923122979,0.8933728809287931,0.16963402689384122,0.6350437482388174,0.685928226146659,0.5033880014848451
1990-07-01,0.3785166234990211,0.4844011023686948,0.6004679475883673,0.5387043331452905,0.9141974744753975,0.13423213878811485,0.6652396374556195,0.7142782481170792,0.5267317478696275
1990-08-01,0.34807357705034864,0.45275811774202307,0.5757590262719826,0.5092710196882317,0.8578319243938372,0.11442394825999548,0.6339952089272811,0.6780856995912333,0.5034201577723836
1990-09-01,0.17439870193704313,0.275822319591925,0.41095683508211484,0.2989086207405162,0.5853071396753678,-0.030239282460407656,0.44695294222373316,0.4742056910524141,0.3463664833660207
1990-10-01,0.05784106347652749,0.16685078319201296,0.3578103063060682,0.15421499089265045,0.37858844887013476,-0.12643564248259356,0.36209976172240316,0.3653483150828861,0.28159858233489027
1990-11-01,0.06559694686984172,0.17767369443192033,0.3862486392656172,0.13591218285009718,0.3697034038912251,-0.1472974473120899,0.38283226234406714,0.3802469707856613,0.3077012094092189
