time,pls_regression_1,pls_regression_316,canonical_pls_1,cca_regression_1
1992-05-01,0.2094396959310918,-0.0423488004964409,0.5044445635826865,0.8571615473175359
1992-06-01,0.2231161571349722,-0.0230358440713995,0.5518242748854651,0.922265245840514
1992-07-01,0.1528814435322482,-0.0855072766067581,0.4475153434346928,0.7529911510204007
1992-08-01,0.0944322135949674,-0.1696482074211744,0.3949875917171473,0.754427316832193
1992-09-01,0.0528524580437437,-0.2292176384112545,0.351917086386449,0.7068173861122923
1992-10-01,0.0536899944410777,-0.1877814278192027,0.3321201934859324,0.7575337043853226
1992-11-01,0.051961447918151,-0.1143367131645792,0.3467389615518449,0.7802725260832003
1992-12-01,0.0692247434245292,-0.0887681545507127,0.3948341409461038,0.839208636710012
1993-01-01,0.1018064341162114,-0.0665543727367668,0.4321666413511082,0.874827446936492
1993-02-01,0.1117019708854929,-0.0048984560564308,0.4226479103959105,0.7990572506959499
1993-03-01,0.1619397218346903,0.0757073059768112,0.4687253912557208,0.803109655156072
1993-04-01,0.1699587100573912,0.0482339366445825,0.4787422853216399,0.7722616881127142
1993-05-01,0.1661041481034014,0.0701762086170451,0.4769690349564395,0.8153806101848243
1993-06-01,0.1589243213716618,0.0746195531329882,0.5008605151307645,0.9012118910345526
1993-07-01,0.2117882361505004,0.1238532222176913,0.5457725772903128,0.9200349148124374
1993-08-01,0.3146024337633817,0.2036413501638766,0.635406930688315,0.9948578354340886
1993-09-01,0.3280291244253764,0.2421772202857326,0.7016902335091106,1.0964286646296872
1993-10-01,0.30915452341189,0.2295748876672757,0.6867331754710283,1.0985619559618836
1993-11-01,0.359773569513674,0.3005696995312999,0.7862366854164295,1.235005264692184
1993-12-01,0.37734642567737,0.2838855726763756,0.8085303149574741,1.2717273051374456
1994-01-01,0.4790037885372877,0.3255931778694678,0.9553082175007788,1.4439111304884975
1994-02-01,0.5316979124077134,0.3308506330736832,1.054060094897679,1.5337583008304918
1994-03-01,0.481170037607458,0.2056338084431862,0.9498464134199676,1.414307304821618
1994-04-01,0.5275820717229238,0.1888600249348366,0.9070032997988124,1.331905202954052
1994-05-01,0.6133600702412519,0.2193231817254666,0.90676131136951,1.3219467534540417
1994-06-01,0.5126470201113028,0.147694607751894,0.8104112674396472,1.2254895828175711
1994-07-01,0.4546586159057035,0.0997301276249842,0.7516511611869886,1.1658637731448822
1994-08-01,0.5477109951780745,0.1497788761408998,0.8159609479125818,1.1790989717077525
1994-09-01,0.5801579367987099,0.1428876438070226,0.867431639992656,1.3027686100830185
1994-10-01,0.4697154801566229,0.0853122911107455,0.7420812270570734,1.1732644490723902
1994-11-01,0.492139628363352,0.1048071721307697,0.7844927260730865,1.220779229920562
1994-12-01,0.4508803472070075,0.1214005493430328,0.7993053993645859,1.2496267199293494
1995-01-01,0.4731220331406148,0.1136930979127336,0.8012207100771755,1.2925135718290597
1995-02-01,0.4788744963350215,0.0760646243221826,0.7792574580166255,1.309817338844122
1995-03-01,0.4694849881605679,0.0946522274957935,0.7842114605768638,1.3482260492399112
1995-04-01,0.4034793533594155,0.0649134916938984,0.7507861479022052,1.3698246410847663
1995-05-01,0.4611520130540439,0.132371995873592,0.8322030183495092,1.4502178591196029
1995-06-01,0.5001951381200725,0.1894942005058906,0.9008872710895678,1.5327986755571037
1995-07-01,0.4661433785033851,0.1682775103963711,0.8810483887918457,1.5904977715567927
1995-08-01,0.5538827547557407,0.2059952240821241,0.9554684751774888,1.6612409236374903
1995-09-01,0.5486996383893435,0.2181462353883605,1.0080131304312083,1.7790824660468
1995-10-01,0.5397772851971986,0.2363707653779241,1.0260000523888773,1.8640301991561028
1995-11-01,0.5465298612014237,0.2700106832644633,1.0238049397049136,1.9509506424287395
1995-12-01,0.5519500767449976,0.3382868987124891,1.0783276635113237,2.057072133799692
1996-01-01,0.5773750510259243,0.3744652056103809,1.14489555723951,2.145036542395633
1996-02-01,0.736013319661811,0.3901495714297607,1.2113584048597,2.234669009368106
1996-03-01,0.7685182809072761,0.3736467647475582,1.2571929999618752,2.32310890319988
1996-04-01,0.8439360851494881,0.3373781291154961,1.315991539208645,2.511023835272065
1996-05-01,0.8645186069769377,0.3440871943162422,1.375947717604738,2.510987252774017
1996-06-01,0.8598808418722651,0.313077675578869,1.3263575235290836,2.4644426376200106
1996-07-01,0.8855209810486346,0.317611192464464,1.3551251598958678,2.5472478284254807
1996-08-01,0.7847957086083543,0.3171588201295822,1.2527920704902331,2.374017049752403
1996-09-01,0.845560643609203,0.3171581532911116,1.311921394720066,2.538215646703696
1996-10-01,0.9444386745409932,0.377997225018896,1.4040490730811468,2.6909176767649625
1996-11-01,0.9589722543454416,0.3912358959218429,1.4310920262676492,2.7075681624884886
1996-12-01,1.1385071642261204,0.4666737032792226,1.5856873754479388,2.835849465702776
1997-01-01,1.1692046428209155,0.4802745500057554,1.6412860670403635,2.872136532569238
1997-02-01,1.2067619356704038,0.5917100679543398,1.8079117677596857,3.2014487193323213
1997-03-01,1.325360058357269,0.679659477057547,1.8826667633902252,3.3251285889957667
1997-04-01,1.2191355017121526,0.6466558821369797,1.8363320805649892,3.300493027881757
1997-05-01,1.28952866915826,0.736965342138117,2.0224312802052027,3.6031023095897616
1997-06-01,1.3054171767468092,0.8038791576615011,2.1135925074648267,3.775518356401261
1997-07-01,1.4715770992031505,0.8777760207957064,2.3573984242350496,4.152320022216321
1997-08-01,1.680760618161001,1.1459791173296558,2.519885810214782,4.478921648339751
1997-09-01,1.4473702166238174,1.0079781574474052,2.326541387359366,4.018293587922413
1997-10-01,1.603038009729328,1.1574929821603106,2.5153117884740297,4.33695731233747
1997-11-01,1.3769270907037463,1.0680057271186425,2.2789246393671534,4.060388875394556
1997-12-01,1.436309561373005,1.1869689413611046,2.4663715384243563,4.334787189610216
1998-01-01,1.4727509543666,1.383817010427916,2.579409000629032,4.539239809753679
1998-02-01,1.5960807888656354,1.7050673542121668,2.973356317001304,5.387922473429988
1998-03-01,1.729668454671203,1.974811294678219,3.036050273110909,5.417752242346044
1998-04-01,1.9590835379842824,2.1294940651859733,3.280139107143096,5.570466491207956
1998-05-01,1.943929211771571,2.0936771550194706,3.183483788615136,5.246982915930501
1998-06-01,2.1551755604608225,2.1104492815488056,3.2492002651743093,5.224356740309205
1998-07-01,2.2074703806152374,2.2381194213567395,3.39805354156778,5.467632836535632
1998-08-01,1.8906386021262065,2.392355672689348,3.272446353805269,5.345934065675157
1998-09-01,1.4448510170131228,1.849423595391409,2.8674386196777526,4.822864943512938
1998-10-01,1.1423269108194192,1.435874674196164,2.6270088691156164,4.413543272215598
1998-11-01,1.4888896172341397,1.9157039840382533,3.0278340347977606,5.083297469591104
